,id,title,type,age_certification,runtime,release_year,seasons,imdb_score
1454,tm4032,Hamlet,MOVIE,,155,1948,0.0,7.6
1472,tm20341,"Rome, Open City",MOVIE,,103,1945,0.0,8.0
1510,tm72126,The Letter,MOVIE,,95,1940,0.0,7.6
1573,tm163314,Mutiny on the Bounty,MOVIE,,132,1935,0.0,7.7
1671,tm82052,Sergeant York,MOVIE,,134,1941,0.0,7.7
1694,tm7281,Safety Last!,MOVIE,,74,1923,0.0,8.1
1712,tm145237,Battleship Potemkin,MOVIE,,75,1925,0.0,8.0
1733,tm96925,The Gay Divorcee,MOVIE,,107,1934,0.0,7.4
1750,tm62467,Sabotage,MOVIE,,77,1937,0.0,7.0
1791,tm146745,The Gold Rush,MOVIE,,89,1925,0.0,8.2
1827,tm122846,The Kid,MOVIE,,53,1921,0.0,8.3
1836,tm86380,Beauty and the Beast,MOVIE,,96,1946,0.0,7.9
1938,tm73245,Foreign Correspondent,MOVIE,,120,1940,0.0,7.5
1948,tm18203,The Lodger: A Story of the London Fog,MOVIE,,91,1927,0.0,7.3
1992,tm80361,The Thief of Bagdad,MOVIE,,106,1940,0.0,7.4
2053,tm71078,Captains Courageous,MOVIE,G,115,1937,0.0,8.0
2084,tm137144,The Testament of Dr. Mabuse,MOVIE,,122,1933,0.0,8.0
2133,tm6099,Jezebel,MOVIE,,103,1938,0.0,7.4
2167,tm94100,Odd Man Out,MOVIE,,116,1947,0.0,7.7
2203,tm5851,Oliver Twist,MOVIE,,116,1948,0.0,7.8
2218,tm7868,The Naked City,MOVIE,,96,1948,0.0,7.6
2230,tm74188,Jungle Book,MOVIE,,106,1942,0.0,6.7
2255,tm4311,Henry V,MOVIE,,137,1944,0.0,7.0
2321,tm116613,Libeled Lady,MOVIE,,98,1936,0.0,7.8
2341,tm113696,Show Boat,MOVIE,,113,1936,0.0,7.4
2352,tm16783,Blithe Spirit,MOVIE,,96,1945,0.0,7.1
2373,tm5310,National Velvet,MOVIE,G,123,1945,0.0,7.3
2402,tm6558,Pygmalion,MOVIE,,96,1939,0.0,7.8
2457,tm71624,In Which We Serve,MOVIE,,115,1942,0.0,7.2
2507,tm67670,Shall We Dance,MOVIE,,109,1937,0.0,7.5
2519,tm64788,Take Me Out to the Ball Game,MOVIE,,93,1949,0.0,6.7
2557,tm83273,Pride and Prejudice,MOVIE,,118,1940,0.0,7.4
2623,tm89464,Miracle on 34th Street,MOVIE,,96,1947,0.0,7.9
2648,tm66822,She Wore a Yellow Ribbon,MOVIE,,103,1949,0.0,7.2
2669,tm52327,The Front Page,MOVIE,,101,1931,0.0,6.2
2687,tm24020,Downhill,MOVIE,,110,1927,0.0,6.0
2715,tm63925,Orpheus,MOVIE,,95,1950,0.0,7.9
2739,tm79235,That Hamilton Woman,MOVIE,,128,1941,0.0,7.2
2762,tm163261,Of Mice and Men,MOVIE,PG,106,1939,0.0,7.9
2796,tm1200,49th Parallel,MOVIE,,123,1941,0.0,7.3
2810,tm4765,The Circus,MOVIE,G,72,1928,0.0,8.1
2824,tm141146,Dragnet Girl,MOVIE,,100,1933,0.0,7.0
2842,tm138416,The Private Life of Henry VIII,MOVIE,,90,1933,0.0,7.0
2851,tm58163,The Flowers of St. Francis,MOVIE,,87,1950,0.0,7.3
2875,tm98488,The Scarlet Pimpernel,MOVIE,,97,1934,0.0,7.4
2897,tm95846,Brute Force,MOVIE,,98,1947,0.0,7.6
2921,tm62407,Pépé le Moko,MOVIE,,94,1937,0.0,7.7
2927,tm85292,Nanook of the North,MOVIE,,79,1922,0.0,7.6
2948,tm88214,Paisan,MOVIE,,125,1946,0.0,7.6
2957,tm129566,So This Is Paris,MOVIE,,70,1926,0.0,7.1
2968,tm6813,Pandora's Box,MOVIE,PG-13,109,1929,0.0,7.8
3036,tm88805,Monsieur Verdoux,MOVIE,,124,1947,0.0,7.8
3084,tm76145,The Long Voyage Home,MOVIE,,105,1940,0.0,6.9
3105,tm146874,The Freshman,MOVIE,,76,1925,0.0,7.5
3125,tm2941,"Ivan the Terrible, Part I",MOVIE,,99,1944,0.0,7.7
3139,tm50802,Young Man with a Horn,MOVIE,,113,1950,0.0,7.2
3177,tm71654,I Married a Witch,MOVIE,,74,1942,0.0,7.1
3185,tm65496,Stromboli,MOVIE,,105,1950,0.0,7.2
3197,tm15921,Without Love,MOVIE,,111,1945,0.0,6.6
3214,tm4647,"Germany, Year Zero",MOVIE,,72,1948,0.0,7.8
3236,tm46463,The Big House,MOVIE,,87,1930,0.0,7.1
3254,tm62206,The Barkleys of Broadway,MOVIE,,109,1949,0.0,7.0
3268,tm73626,Keeper of the Flame,MOVIE,PG,100,1943,0.0,6.7
3404,tm78340,They Died with Their Boots On,MOVIE,,140,1941,0.0,7.2
3427,tm65174,Tea for Two,MOVIE,,98,1950,0.0,6.5
3457,tm3635,Speedy,MOVIE,,85,1928,0.0,7.6
3471,tm114969,Girl Crazy,MOVIE,,99,1943,0.0,6.8
3498,tm62600,My Dream Is Yours,MOVIE,,101,1949,0.0,6.6
3522,tm116695,Lassie Come Home,MOVIE,G,88,1943,0.0,7.1
3543,tm6170,Carefree,MOVIE,,83,1938,0.0,7.0
3574,tm176,3 Godfathers,MOVIE,,102,1948,0.0,7.1
3628,tm18963,The King of Kings,MOVIE,,155,1927,0.0,7.4
3655,tm154660,The Four Feathers,MOVIE,,115,1939,0.0,7.5
3669,tm143808,The Son of Kong,MOVIE,,70,1933,0.0,5.6
3678,tm102887,A Story of Floating Weeds,MOVIE,,86,1934,0.0,7.7
3702,tm161348,Five Came Back,MOVIE,,75,1939,0.0,7.1
3718,tm106289,Fashions of 1934,MOVIE,,78,1934,0.0,6.7
3730,tm257,A Woman of Paris: A Drama of Fate,MOVIE,,82,1923,0.0,6.9
3741,tm41039,People on Sunday,MOVIE,,74,1930,0.0,7.3
3826,tm90095,One Foot in Heaven,MOVIE,,108,1941,0.0,6.7
3884,tm115944,Rembrandt,MOVIE,,85,1936,0.0,7.1
3985,tm4161,Romance on the High Seas,MOVIE,,99,1948,0.0,7.0
4001,tm87157,The Two Mrs. Carrolls,MOVIE,,99,1947,0.0,6.8
4012,tm142928,The Emperor Jones,MOVIE,,75,1933,0.0,6.4
4022,tm19202,The Kid Brother,MOVIE,,82,1927,0.0,7.6
4044,tm105203,Jimmy the Gent,MOVIE,,67,1934,0.0,6.6
4060,tm42140,The 3 Penny Opera,MOVIE,,112,1931,0.0,7.3
4067,tm129771,For Heaven's Sake,MOVIE,,58,1926,0.0,7.5
4110,tm157195,Honolulu,MOVIE,,83,1939,0.0,6.6
4120,tm18358,The Seventh Veil,MOVIE,,94,1945,0.0,6.7
4150,tm67506,I Shot Jesse James,MOVIE,,81,1949,0.0,6.8
4203,tm156678,Special Agent,MOVIE,,76,1935,0.0,6.5
4230,tm14958,The Horn Blows at Midnight,MOVIE,,78,1945,0.0,6.6
4272,tm88229,Black Gold,MOVIE,,89,1947,0.0,6.1
4302,tm44046,Westfront 1918,MOVIE,,97,1930,0.0,7.4
4309,tm7631,The Pilgrim,MOVIE,,47,1923,0.0,7.3
4331,tm1148,A Damsel in Distress,MOVIE,PG,101,1937,0.0,6.8
4342,tm116832,Osaka Elegy,MOVIE,,71,1936,0.0,7.2
4344,tm17732,Berlin: Symphony of a Great City,MOVIE,,69,1927,0.0,7.6
4359,tm45502,Gentleman's Fate,MOVIE,,90,1931,0.0,6.4
4391,tm4895,The Dark Horse,MOVIE,,75,1932,0.0,6.8
4420,tm101621,The Rise of Catherine the Great,MOVIE,,95,1934,0.0,6.3
4430,tm78145,Shoulder Arms,MOVIE,,45,1918,0.0,7.3
4434,tm7568,L'amore,MOVIE,,75,1948,0.0,6.9
4463,tm117793,Intermezzo,MOVIE,,93,1936,0.0,6.5
4473,tm6444,Winter Meeting,MOVIE,,104,1948,0.0,6.3
4474,tm4193,The White Stadium,MOVIE,,124,1928,0.0,7.4
4503,tm84135,Major Barbara,MOVIE,,121,1941,0.0,6.8
4536,tm132060,Going Hollywood,MOVIE,,78,1933,0.0,6.2
4554,tm8534,Little Old New York,MOVIE,,110,1923,0.0,6.3
4567,tm137977,I Cover the Waterfront,MOVIE,,75,1933,0.0,6.3
4599,tm6865,Why Worry?,MOVIE,,60,1923,0.0,7.4
4647,tm49428,Comradeship,MOVIE,,93,1931,0.0,7.5
4674,tm148296,Master of the House,MOVIE,,107,1925,0.0,7.1
4688,tm101429,The Return of Bulldog Drummond,MOVIE,,73,1934,0.0,5.5
4693,tm352012,XIVth Olympiad: The Glory of Sport,MOVIE,,138,1948,0.0,6.5
4705,tm4261,Kongo,MOVIE,,87,1932,0.0,6.6
4724,tm89942,Dr. Jack,MOVIE,,60,1922,0.0,7.1
4770,tm163133,Hell's Kitchen,MOVIE,,81,1939,0.0,6.5
4790,tm7399,Return of the Scarlet Pimpernel,MOVIE,,88,1937,0.0,5.6
4791,tm364103,The Olympic Games in Paris 1924,MOVIE,,174,1925,0.0,6.4
4861,tm364116,"The Olympic Games, Amsterdam 1928",MOVIE,,192,1928,0.0,6.1
4873,tm97341,The Shining,MOVIE,R,144,1980,0.0,8.4
4934,tm362,2001: A Space Odyssey,MOVIE,G,160,1968,0.0,8.3
4943,tm76285,Stalker,MOVIE,,163,1979,0.0,8.1
5002,tm42704,Ben-Hur,MOVIE,G,212,1959,0.0,8.1
5049,tm15070,Willy Wonka & the Chocolate Factory,MOVIE,G,100,1971,0.0,7.8
5055,ts22230,"Scooby-Doo, Where Are You!",SHOW,TV-G,23,1969,3.0,7.9
5099,tm109939,Chinatown,MOVIE,R,130,1974,0.0,8.2
5255,tm60665,Singin' in the Rain,MOVIE,G,103,1952,0.0,8.3
5299,tm190036,Soylent Green,MOVIE,PG,97,1973,0.0,7.0
5334,tm127410,One Flew Over the Cuckoo's Nest,MOVIE,R,133,1975,0.0,8.7
5391,tm99370,Caddyshack,MOVIE,R,98,1980,0.0,7.2
5430,tm11500,A Clockwork Orange,MOVIE,R,137,1971,0.0,8.3
5489,tm84964,All the President's Men,MOVIE,PG,138,1976,0.0,7.9
5590,tm18043,Seven Samurai,MOVIE,,207,1954,0.0,8.6
5648,tm1183,10,MOVIE,R,118,1979,0.0,6.1
5701,tm93829,American Gigolo,MOVIE,R,117,1980,0.0,6.3
5738,tm85518,Network,MOVIE,R,122,1976,0.0,8.1
5786,tm49355,West Side Story,MOVIE,,152,1961,0.0,7.6
5827,tm125288,Dog Day Afternoon,MOVIE,R,124,1975,0.0,8.0
5848,tm92249,Eraserhead,MOVIE,,89,1977,0.0,7.3
5876,tm91688,House,MOVIE,,88,1977,0.0,7.3
5966,tm40187,North by Northwest,MOVIE,,136,1959,0.0,8.3
5993,tm90293,The Searchers,MOVIE,,119,1956,0.0,7.9
6012,tm155267,Solaris,MOVIE,PG,167,1972,0.0,8.0
6027,tm73092,Breaking Away,MOVIE,PG,100,1979,0.0,7.7
6085,tm14873,Dirty Harry,MOVIE,R,102,1971,0.0,7.7
6108,tm19053,On the Waterfront,MOVIE,,108,1954,0.0,8.1
6127,tm189614,The Last Detail,MOVIE,R,104,1973,0.0,7.5
6167,tm153272,"What's Up, Doc?",MOVIE,G,93,1972,0.0,7.6
6202,tm12025,Chitty Chitty Bang Bang,MOVIE,G,144,1968,0.0,6.9
6237,tm93644,The Outlaw Josey Wales,MOVIE,PG,135,1976,0.0,7.8
6282,tm72895,The Wild Bunch,MOVIE,R,145,1969,0.0,7.9
6301,tm99628,Five Easy Pieces,MOVIE,R,98,1970,0.0,7.4
6350,tm32149,High and Low,MOVIE,,143,1963,0.0,8.4
6381,tm120964,In the Heat of the Night,MOVIE,PG-13,109,1967,0.0,7.9
6466,tm12694,Superman,MOVIE,PG,143,1978,0.0,7.4
6518,tm41864,Yojimbo,MOVIE,,110,1961,0.0,8.2
6551,tm92635,Logan's Run,MOVIE,PG,119,1976,0.0,6.8
6580,tm102938,M*A*S*H,MOVIE,R,116,1970,0.0,7.4
6609,tm14146,Get Carter,MOVIE,R,112,1971,0.0,7.4
6656,tm37446,Rio Bravo,MOVIE,,141,1959,0.0,8.0
6675,tm79269,The Brood,MOVIE,R,92,1979,0.0,6.8
6741,tm97794,Saturday Night Fever,MOVIE,R,118,1977,0.0,6.8
6787,tm96652,The Long Good Friday,MOVIE,R,114,1980,0.0,7.6
6800,tm121766,The Man Who Would Be King,MOVIE,PG,129,1975,0.0,7.8
6831,tm189175,Fantastic Planet,MOVIE,PG,72,1973,0.0,7.7
6879,tm660,8½,MOVIE,,138,1963,0.0,8.0
6923,tm11191,THX 1138,MOVIE,R,86,1971,0.0,6.7
6944,tm13613,Watership Down,MOVIE,PG,88,1978,0.0,7.6
6982,tm12881,Night of the Living Dead,MOVIE,,96,1968,0.0,7.9
6988,tm68506,Persona,MOVIE,,83,1966,0.0,8.1
7026,tm9997,What Ever Happened to Baby Jane?,MOVIE,,135,1962,0.0,8.0
7055,tm94637,Dressed to Kill,MOVIE,R,105,1980,0.0,7.1
7072,tm119281,Bonnie and Clyde,MOVIE,R,110,1967,0.0,7.7
7100,tm2159,A Streetcar Named Desire,MOVIE,PG,125,1951,0.0,7.9
7128,tm121175,Le Samouraï,MOVIE,PG,105,1967,0.0,8.1
7183,tm120801,The Dirty Dozen,MOVIE,,145,1967,0.0,7.7
7201,tm89382,High Anxiety,MOVIE,PG,94,1977,0.0,6.6
7210,tm73791,The Battle of Algiers,MOVIE,,90,1966,0.0,8.1
7220,tm125870,Grey Gardens,MOVIE,PG,95,1976,0.0,7.6
7250,tm102441,Tokyo Story,MOVIE,,136,1953,0.0,8.2
7276,tm19269,Seven Brides for Seven Brothers,MOVIE,G,103,1954,0.0,7.3
7323,tm120889,The Seventh Seal,MOVIE,,96,1957,0.0,8.1
7352,tm51473,Breathless,MOVIE,,90,1960,0.0,7.7
7395,tm114183,Rebel Without a Cause,MOVIE,PG-13,111,1955,0.0,7.7
7432,tm156809,The Getaway,MOVIE,PG,123,1972,0.0,7.4
7537,tm1398,A Bridge Too Far,MOVIE,PG,175,1977,0.0,7.4
7600,tm65430,Ikiru,MOVIE,,143,1952,0.0,8.3
7625,tm38826,The 400 Blows,MOVIE,,99,1959,0.0,8.1
7667,tm119925,Throne of Blood,MOVIE,,108,1957,0.0,8.1
7713,tm188330,A Hard Day's Night,MOVIE,G,88,1964,0.0,7.6
7749,tm125076,Picnic at Hanging Rock,MOVIE,PG,117,1975,0.0,7.4
7783,tm184314,The Umbrellas of Cherbourg,MOVIE,PG-13,91,1964,0.0,7.8
7840,tm81379,Red Beard,MOVIE,,185,1965,0.0,8.3
7866,tm11359,Carnival of Souls,MOVIE,,78,1962,0.0,7.1
7899,tm108804,A Woman Under the Influence,MOVIE,R,146,1974,0.0,8.1
7919,tm113786,Alice Doesn't Live Here Anymore,MOVIE,PG,112,1974,0.0,7.3
7935,tm103236,The Wages of Fear,MOVIE,PG-13,116,1953,0.0,8.2
7963,tm101146,Fame,MOVIE,R,130,1980,0.0,6.6
7979,tm51726,Eyes Without a Face,MOVIE,,84,1960,0.0,7.6
8018,tm39446,Good Morning,MOVIE,,94,1959,0.0,7.8
8332,tm101272,Around the World in Eighty Days,MOVIE,G,175,1956,0.0,6.7
8340,tm31325,Lord of the Flies,MOVIE,PG-13,92,1963,0.0,6.9
8361,tm90487,Mikey and Nicky,MOVIE,R,106,1976,0.0,7.4
8383,tm1390,A Star Is Born,MOVIE,R,135,1976,0.0,6.0
8427,tm127957,The Hidden Fortress,MOVIE,,139,1958,0.0,8.1
8445,tm129542,An American in Paris,MOVIE,,113,1951,0.0,7.2
8458,tm114067,Summertime,MOVIE,,100,1955,0.0,7.1
8490,tm75792,North Dallas Forty,MOVIE,R,119,1979,0.0,6.9
8507,tm133889,Mon Oncle,MOVIE,,118,1958,0.0,7.7
8541,tm133505,Elevator to the Gallows,MOVIE,,91,1958,0.0,7.9
8585,tm12133,Shaft,MOVIE,R,100,1971,0.0,6.6
8607,tm120702,Belle de Jour,MOVIE,R,101,1967,0.0,7.7
8638,tm129340,The Blob,MOVIE,,86,1958,0.0,6.3
8659,tm187009,F for Fake,MOVIE,PG,89,1973,0.0,7.7
8679,tm190423,Magnum Force,MOVIE,R,124,1973,0.0,7.2
8710,tm18047,Godzilla,MOVIE,,96,1954,0.0,7.5
8730,tm489,A Star Is Born,MOVIE,PG,180,1954,0.0,7.5
8792,tm14909,Every Which Way but Loose,MOVIE,PG,110,1978,0.0,6.3
8849,tm127965,Superman II,MOVIE,PG,127,1980,0.0,6.8
8874,tm10274,An Autumn Afternoon,MOVIE,,114,1962,0.0,8.1
8890,tm121209,Camelot,MOVIE,G,179,1967,0.0,6.5
8919,tm109185,Diabolique,MOVIE,,114,1955,0.0,8.1
8965,tm128870,Gigi,MOVIE,G,116,1958,0.0,6.7
8972,tm124595,"Jeanne Dielman, 23, Quai du Commerce 1080 Bruxelles",MOVIE,,202,1976,0.0,7.7
8997,tm67454,Daisies,MOVIE,,73,1966,0.0,7.3
9017,tm108185,Pather Panchali,MOVIE,,122,1955,0.0,8.3
9041,tm185165,Lady Snowblood,MOVIE,,97,1973,0.0,7.6
9075,tm119834,Wild Strawberries,MOVIE,,91,1957,0.0,8.1
9144,tm120163,The Young Girls of Rochefort,MOVIE,G,126,1967,0.0,7.7
9155,tm184895,Sisters,MOVIE,R,93,1973,0.0,6.9
9176,tm88406,Chimes at Midnight,MOVIE,,115,1965,0.0,7.2
9191,tm18537,La Strada,MOVIE,,115,1954,0.0,8.0
9204,tm185200,Scenes from a Marriage,MOVIE,PG,169,1974,0.0,8.4
9230,tm11228,Cléo from 5 to 7,MOVIE,,90,1962,0.0,7.9
9260,tm40940,Floating Weeds,MOVIE,,119,1959,0.0,8.0
9278,tm96212,Brewster McCloud,MOVIE,R,105,1970,0.0,6.8
9305,tm187689,Amarcord,MOVIE,R,123,1973,0.0,7.9
9327,tm153746,Cries and Whispers,MOVIE,R,95,1972,0.0,8.0
9347,tm15968,Brigadoon,MOVIE,G,108,1954,0.0,6.8
9372,tm73945,The Frisco Kid,MOVIE,PG,114,1979,0.0,6.3
9388,tm85528,The Flight of the Phoenix,MOVIE,,136,1965,0.0,7.5
9412,tm87865,The Great Race,MOVIE,,160,1965,0.0,7.2
9445,tm72207,Z,MOVIE,,126,1969,0.0,8.2
9470,tm19004,Girlfriends,MOVIE,PG,86,1978,0.0,7.2
9486,tm185943,Onibaba,MOVIE,NC-17,102,1964,0.0,7.9
9491,tm47884,Through a Glass Darkly,MOVIE,,91,1961,0.0,8.0
9512,tm52243,L'Avventura,MOVIE,,144,1960,0.0,7.8
9530,tm12072,Jules and Jim,MOVIE,,110,1962,0.0,7.7
9544,tm124668,Love in the Afternoon,MOVIE,,130,1957,0.0,7.1
9580,tm103037,Gimme Shelter,MOVIE,R,92,1970,0.0,7.8
9591,tm119413,Dont Look Back,MOVIE,,96,1967,0.0,7.9
9667,tm183324,Kwaidan,MOVIE,,183,1964,0.0,7.9
9677,tm88911,Harlan County U.S.A.,MOVIE,PG,103,1977,0.0,8.2
9692,tm46815,La Notte,MOVIE,,122,1961,0.0,8.0
9711,tm108603,Ali: Fear Eats the Soul,MOVIE,,93,1974,0.0,8.0
9756,tm109203,Ugetsu,MOVIE,,94,1953,0.0,8.2
9799,tm92711,Breaker Morant,MOVIE,PG,107,1980,0.0,7.8
9818,tm91569,The Last Wave,MOVIE,PG,106,1977,0.0,7.0
9835,tm135863,Early Summer,MOVIE,,125,1951,0.0,8.1
9912,tm76771,"War and Peace, Part I: Andrei Bolkonsky",MOVIE,,147,1966,0.0,8.2
9942,tm28562,Tom Jones,MOVIE,,128,1963,0.0,6.4
9958,tm81976,A Patch of Blue,MOVIE,,105,1965,0.0,8.0
9992,tm14155,Jubilee,MOVIE,,106,1978,0.0,6.0
10013,tm44575,The End of Summer,MOVIE,,103,1961,0.0,7.7
10024,tm14014,Summer of '42,MOVIE,PG,102,1971,0.0,7.2
10057,tm17268,Faces,MOVIE,PG-13,130,1968,0.0,7.5
10073,tm39463,Black Orpheus,MOVIE,PG,100,1959,0.0,7.4
10110,tm86154,The Killing of a Chinese Bookie,MOVIE,R,135,1976,0.0,7.3
10124,tm19874,Autumn Sonata,MOVIE,PG,99,1978,0.0,8.1
10142,tm105881,The Night Porter,MOVIE,R,118,1974,0.0,6.6
10152,tm70946,My Night at Maud's,MOVIE,,110,1969,0.0,7.8
10164,tm121674,Weekend,MOVIE,R,104,1967,0.0,7.0
10178,tm147474,Super Fly,MOVIE,R,93,1972,0.0,6.4
10201,tm105641,Wanda,MOVIE,PG,103,1971,0.0,7.1
10216,tm128455,"The Long, Hot Summer",MOVIE,,115,1958,0.0,7.3
10238,tm89191,The Enforcer,MOVIE,R,96,1976,0.0,6.7
10256,tm37127,The World of Apu,MOVIE,PG-13,105,1959,0.0,8.5
10271,tm192853,Fast Company,MOVIE,R,91,1979,0.0,5.4
10289,tm129177,The Drowning Pool,MOVIE,PG,108,1975,0.0,6.5
10332,tm70367,Quadrophenia,MOVIE,R,120,1979,0.0,7.2
10338,tm10313,Knife in the Water,MOVIE,,94,1962,0.0,7.4
10341,tm15104,George Carlin: Again!,MOVIE,,82,1978,0.0,8.1
10377,tm120791,Doctor Dolittle,MOVIE,G,152,1967,0.0,6.1
10411,tm91568,Opening Night,MOVIE,PG-13,144,1977,0.0,7.9
10429,tm101406,Aparajito,MOVIE,,110,1956,0.0,8.3
10456,tm103259,Monsieur Hulot's Holiday,MOVIE,,88,1953,0.0,7.4
10468,tm68390,The Shooting,MOVIE,G,78,1966,0.0,6.5
10492,tm12793,Vivre Sa Vie,MOVIE,,84,1962,0.0,7.9
10514,tm116799,Tokyo Twilight,MOVIE,R,141,1957,0.0,8.1
10534,tm186978,Red Desert,MOVIE,,117,1964,0.0,7.5
10562,tm29183,Shock Corridor,MOVIE,,102,1963,0.0,7.3
10583,tm60015,Limelight,MOVIE,G,137,1952,0.0,8.0
10590,tm150747,The Bitter Tears of Petra von Kant,MOVIE,,125,1972,0.0,7.6
10611,tm72561,The Tin Drum,MOVIE,R,162,1979,0.0,7.5
10660,tm156325,Lone Wolf and Cub: Sword of Vengeance,MOVIE,,83,1972,0.0,7.7
10697,tm102067,Multiple Maniacs,MOVIE,,97,1970,0.0,6.5
10719,tm112065,Godzilla vs. Mechagodzilla,MOVIE,G,84,1974,0.0,6.2
10759,tm94668,Early Spring,MOVIE,,144,1956,0.0,7.8
10780,tm182041,Seance on a Wet Afternoon,MOVIE,,111,1964,0.0,7.6
10824,tm122614,The Cranes Are Flying,MOVIE,,97,1957,0.0,8.3
10852,tm17654,Samurai I: Musashi Miyamoto,MOVIE,,93,1954,0.0,7.4
10894,tm14994,Monterey Pop,MOVIE,,80,1968,0.0,8.0
10918,tm126855,Fox and His Friends,MOVIE,,124,1975,0.0,7.6
10942,tm9624,Sweet Bird of Youth,MOVIE,,120,1962,0.0,7.2
10977,tm40216,The Nun's Story,MOVIE,,149,1959,0.0,7.5
11026,tm104934,Dodes'ka-den,MOVIE,,140,1970,0.0,7.3
11039,tm106134,The Earrings of Madame de...,MOVIE,,105,1953,0.0,7.9
11064,tm130126,Ashes and Diamonds,MOVIE,,106,1958,0.0,7.8
11081,tm47786,Shoot the Piano Player,MOVIE,,85,1960,0.0,7.4
11095,tm153192,The Ruling Class,MOVIE,PG,154,1972,0.0,7.3
11101,tm12810,Salesman,MOVIE,G,90,1969,0.0,7.7
11139,tm76011,My Brilliant Career,MOVIE,G,96,1979,0.0,7.1
11154,tm67435,Masculin Féminin,MOVIE,,105,1966,0.0,7.5
11167,tm19547,Journey to Italy,MOVIE,,85,1954,0.0,7.3
11186,tm112552,Richard III,MOVIE,,155,1955,0.0,7.4
11229,tm182273,Mothra vs. Godzilla,MOVIE,,89,1964,0.0,6.5
11243,tm73219,Black Girl,MOVIE,,58,1966,0.0,7.4
11265,tm152030,Godzilla vs. Gigan,MOVIE,PG,89,1972,0.0,5.6
11289,tm45508,Divorce Italian Style,MOVIE,,101,1961,0.0,8.0
11299,tm69813,Wise Blood,MOVIE,PG,106,1979,0.0,6.9
11342,tm79002,The Shop on Main Street,MOVIE,PG,128,1965,0.0,8.2
11373,tm105976,I Vitelloni,MOVIE,,103,1953,0.0,7.8
11386,tm948,A Taste of Honey,MOVIE,,100,1961,0.0,7.4
11399,tm77586,Inside Daisy Clover,MOVIE,,128,1965,0.0,6.2
11417,tm78434,The Honeymoon Killers,MOVIE,R,108,1970,0.0,7.0
11435,tm91551,Julie,MOVIE,,99,1956,0.0,6.1
11464,tm185022,The Naked Kiss,MOVIE,,93,1964,0.0,7.2
11492,tm72779,The Marriage of Maria Braun,MOVIE,R,120,1979,0.0,7.7
11524,tm52201,Shadows,MOVIE,PG,81,1959,0.0,7.2
11538,tm100656,...And God Created Woman,MOVIE,PG,95,1956,0.0,6.3
11558,tm188205,Children of the Damned,MOVIE,,90,1964,0.0,6.2
11573,tm55130,The Machine That Kills Bad People,MOVIE,,85,1952,0.0,6.7
11585,tm19681,Senso,MOVIE,,123,1954,0.0,7.4
